Code,Description,Scope,Area,MinLon,MinLat,MaxLon,MaxLat,LonCenter,LatCenter,Projection,OGCWKT,Proj4
EPSG:2010,EPSG Projection 2010 - NAD27(CGQ77) / SCoPQ zone 4,Large and medium scale topographic mapping and engineering survey.,Canada - Quebec - 63°W to 60°W,-63,47.13,-60,52,-61.5,0,transverse_mercator,"PROJCS[""NAD27(CGQ77) / SCoPQ zone 4"",GEOGCS[""NAD27(CGQ77)"",DATUM[""North_American_Datum_1927_CGQ77"",SPHEROID[""Clarke 1866"",6378206.4,294.9786982138982,AUTHORITY[""EPSG"",""7008""]],AUTHORITY[""EPSG"",""6609""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4609""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-61.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2010""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]",+proj=tmerc +lat_0=0 +lon_0=-61.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
EPSG:2011,EPSG Projection 2011 - NAD27(CGQ77) / SCoPQ zone 5,Large and medium scale topographic mapping and engineering survey.,Canada - Quebec - 66°W to 63°W,-66,47.88,-63,60.52,-64.5,0,transverse_mercator,"PROJCS[""NAD27(CGQ77) / SCoPQ zone 5"",GEOGCS[""NAD27(CGQ77)"",DATUM[""North_American_Datum_1927_CGQ77"",SPHEROID[""Clarke 1866"",6378206.4,294.9786982138982,AUTHORITY[""EPSG"",""7008""]],AUTHORITY[""EPSG"",""6609""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4609""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-64.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2011""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]",+proj=tmerc +lat_0=0 +lon_0=-64.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
EPSG:2012,EPSG Projection 2012 - NAD27(CGQ77) / SCoPQ zone 6,Large and medium scale topographic mapping and engineering survey.,Canada - Quebec - 69°W to 66°W,-69,47.1,-66,59.1,-67.5,0,transverse_mercator,"PROJCS[""NAD27(CGQ77) / SCoPQ zone 6"",GEOGCS[""NAD27(CGQ77)"",DATUM[""North_American_Datum_1927_CGQ77"",SPHEROID[""Clarke 1866"",6378206.4,294.9786982138982,AUTHORITY[""EPSG"",""7008""]],AUTHORITY[""EPSG"",""6609""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4609""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-67.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2012""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]",+proj=tmerc +lat_0=0 +lon_0=-67.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
EPSG:2013,EPSG Projection 2013 - NAD27(CGQ77) / SCoPQ zone 7,Large and medium scale topographic mapping and engineering survey.,Canada - Quebec - 72°W to 69°W,-72,44.99,-69,61.9,-70.5,0,transverse_mercator,"PROJCS[""NAD27(CGQ77) / SCoPQ zone 7"",GEOGCS[""NAD27(CGQ77)"",DATUM[""North_American_Datum_1927_CGQ77"",SPHEROID[""Clarke 1866"",6378206.4,294.9786982138982,AUTHORITY[""EPSG"",""7008""]],AUTHORITY[""EPSG"",""6609""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4609""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-70.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2013""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]",+proj=tmerc +lat_0=0 +lon_0=-70.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
EPSG:2014,EPSG Projection 2014 - NAD27(CGQ77) / SCoPQ zone 8,Large and medium scale topographic mapping and engineering survey.,Canada - Quebec - 75°W to 72°W,-75,44.99,-72,62.56,-73.5,0,transverse_mercator,"PROJCS[""NAD27(CGQ77) / SCoPQ zone 8"",GEOGCS[""NAD27(CGQ77)"",DATUM[""North_American_Datum_1927_CGQ77"",SPHEROID[""Clarke 1866"",6378206.4,294.9786982138982,AUTHORITY[""EPSG"",""7008""]],AUTHORITY[""EPSG"",""6609""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4609""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-73.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2014""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]",+proj=tmerc +lat_0=0 +lon_0=-73.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
EPSG:2015,EPSG Projection 2015 - NAD27(CGQ77) / SCoPQ zone 9,Large and medium scale topographic mapping and engineering survey.,Canada - Quebec - 78°W to 75°W,-78,45.28,-75,62.56,-76.5,0,transverse_mercator,"PROJCS[""NAD27(CGQ77) / SCoPQ zone 9"",GEOGCS[""NAD27(CGQ77)"",DATUM[""North_American_Datum_1927_CGQ77"",SPHEROID[""Clarke 1866"",6378206.4,294.9786982138982,AUTHORITY[""EPSG"",""7008""]],AUTHORITY[""EPSG"",""6609""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4609""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-76.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2015""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]",+proj=tmerc +lat_0=0 +lon_0=-76.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
EPSG:2016,EPSG Projection 2016 - NAD27(CGQ77) / SCoPQ zone 10,Large and medium scale topographic mapping and engineering survey.,Canada - Quebec - west of 78°W,-79.76,46.13,-78,62.5,-79.5,0,transverse_mercator,"PROJCS[""NAD27(CGQ77) / SCoPQ zone 10"",GEOGCS[""NAD27(CGQ77)"",DATUM[""North_American_Datum_1927_CGQ77"",SPHEROID[""Clarke 1866"",6378206.4,294.9786982138982,AUTHORITY[""EPSG"",""7008""]],AUTHORITY[""EPSG"",""6609""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4609""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-79.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2016""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]",+proj=tmerc +lat_0=0 +lon_0=-79.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
EPSG:2017,EPSG Projection 2017 - NAD27(76) / MTM zone 8,Large and medium scale topographic mapping and engineering survey.,Canada - Ontario - east of 75°W,-75,44.8,-74.32,45.8,-73.5,0,transverse_mercator,"PROJCS[""NAD27(76) / MTM zone 8"",GEOGCS[""NAD27(76)"",DATUM[""North_American_Datum_1927_1976"",SPHEROID[""Clarke 1866"",6378206.4,294.9786982138982,AUTHORITY[""EPSG"",""7008""]],AUTHORITY[""EPSG"",""6608""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4608""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-73.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2017""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]",+proj=tmerc +lat_0=0 +lon_0=-73.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
EPSG:2018,EPSG Projection 2018 - NAD27(76) / MTM zone 9,Large and medium scale topographic mapping and engineering survey.,Canada - Ontario - 78°W to 75°W,-78,43.6,-75,46.4,-76.5,0,transverse_mercator,"PROJCS[""NAD27(76) / MTM zone 9"",GEOGCS[""NAD27(76)"",DATUM[""North_American_Datum_1927_1976"",SPHEROID[""Clarke 1866"",6378206.4,294.9786982138982,AUTHORITY[""EPSG"",""7008""]],AUTHORITY[""EPSG"",""6608""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4608""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-76.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2018""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]",+proj=tmerc +lat_0=0 +lon_0=-76.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
EPSG:2019,EPSG Projection 2019 - NAD27(76) / MTM zone 10,Large and medium scale topographic mapping and engineering survey.,Canada - Ontario - MTM zone 10,-79.5,42.4,-78,46,-79.5,0,transverse_mercator,"PROJCS[""NAD27(76) / MTM zone 10"",GEOGCS[""NAD27(76)"",DATUM[""North_American_Datum_1927_1976"",SPHEROID[""Clarke 1866"",6378206.4,294.9786982138982,AUTHORITY[""EPSG"",""7008""]],AUTHORITY[""EPSG"",""6608""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4608""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-79.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2019""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]",+proj=tmerc +lat_0=0 +lon_0=-79.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
EPSG:2020,EPSG Projection 2020 - NAD27(76) / MTM zone 11,Large and medium scale topographic mapping and engineering survey.,Canada - Ontario - MTM zone 11,-83.59,41.68,-81,46,-82.5,0,transverse_mercator,"PROJCS[""NAD27(76) / MTM zone 11"",GEOGCS[""NAD27(76)"",DATUM[""North_American_Datum_1927_1976"",SPHEROID[""Clarke 1866"",6378206.4,294.9786982138982,AUTHORITY[""EPSG"",""7008""]],AUTHORITY[""EPSG"",""6608""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4608""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-82.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2020""],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",+proj=tmerc +lat_0=0 +lon_0=-82.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
EPSG:2021,EPSG Projection 2021 - NAD27(76) / MTM zone 12,Large and medium scale topographic mapping and engineering survey.,Canada - Ontario - MTM zone 12,-82.5,46,-79.5,55.3,-81,0,transverse_mercator,"PROJCS[""NAD27(76) / MTM zone 12"",GEOGCS[""NAD27(76)"",DATUM[""North_American_Datum_1927_1976"",SPHEROID[""Clarke 1866"",6378206.4,294.9786982138982,AUTHORITY[""EPSG"",""7008""]],AUTHORITY[""EPSG"",""6608""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4608""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-81],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2021""],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",+proj=tmerc +lat_0=0 +lon_0=-81 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
